outcome,age_group,year_pair,state,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,12 or Older,2002-03,Alabama,0.043155,0.034499,0.053862
Marijuana Use in the Past Month,12 or Older,2002-03,Alaska,0.097837,0.08103,0.117682
Marijuana Use in the Past Month,12 or Older,2002-03,Arizona,0.056773,0.046052,0.069807
Marijuana Use in the Past Month,12 or Older,2002-03,Arkansas,0.056341,0.046335,0.068353
Marijuana Use in the Past Month,12 or Older,2002-03,California,0.065032,0.058173,0.072637
Marijuana Use in the Past Month,12 or Older,2002-03,Colorado,0.084905,0.071134,0.101053
Marijuana Use in the Past Month,12 or Older,2002-03,Connecticut,0.069415,0.057971,0.08292
Marijuana Use in the Past Month,12 or Older,2002-03,Delaware,0.068882,0.05843,0.081044
Marijuana Use in the Past Month,12 or Older,2002-03,District of Columbia,0.096037,0.080528,0.114164
Marijuana Use in the Past Month,12 or Older,2002-03,Florida,0.065757,0.058735,0.073553
Marijuana Use in the Past Month,12 or Older,2002-03,Georgia,0.049263,0.040113,0.060368
Marijuana Use in the Past Month,12 or Older,2002-03,Hawaii,0.069482,0.056164,0.085672
Marijuana Use in the Past Month,12 or Older,2002-03,Idaho,0.050865,0.041688,0.061932
Marijuana Use in the Past Month,12 or Older,2002-03,Illinois,0.056036,0.050423,0.062232
Marijuana Use in the Past Month,12 or Older,2002-03,Indiana,0.061244,0.050489,0.074113
Marijuana Use in the Past Month,12 or Older,2002-03,Iowa,0.049026,0.039882,0.060134
Marijuana Use in the Past Month,12 or Older,2002-03,Kansas,0.049089,0.039713,0.060539
Marijuana Use in the Past Month,12 or Older,2002-03,Kentucky,0.0562,0.045845,0.068726
Marijuana Use in the Past Month,12 or Older,2002-03,Louisiana,0.05766,0.047774,0.069444
Marijuana Use in the Past Month,12 or Older,2002-03,Maine,0.079466,0.066107,0.095249
Marijuana Use in the Past Month,12 or Older,2002-03,Maryland,0.05725,0.047431,0.068955
Marijuana Use in the Past Month,12 or Older,2002-03,Massachusetts,0.077998,0.065657,0.092429
Marijuana Use in the Past Month,12 or Older,2002-03,Michigan,0.072014,0.065131,0.079563
Marijuana Use in the Past Month,12 or Older,2002-03,Minnesota,0.063722,0.052963,0.07649
Marijuana Use in the Past Month,12 or Older,2002-03,Mississippi,0.046422,0.037372,0.057532
Marijuana Use in the Past Month,12 or Older,2002-03,Missouri,0.067648,0.055959,0.081567
Marijuana Use in the Past Month,12 or Older,2002-03,Montana,0.091723,0.076639,0.109425
Marijuana Use in the Past Month,12 or Older,2002-03,Nebraska,0.059707,0.048922,0.072687
Marijuana Use in the Past Month,12 or Older,2002-03,Nevada,0.076188,0.06252,0.092549
Marijuana Use in the Past Month,12 or Older,2002-03,New Hampshire,0.102335,0.085191,0.122467
Marijuana Use in the Past Month,12 or Older,2002-03,New Jersey,0.050506,0.041334,0.061584
Marijuana Use in the Past Month,12 or Older,2002-03,New Mexico,0.073705,0.060609,0.089361
Marijuana Use in the Past Month,12 or Older,2002-03,New York,0.07335,0.06649,0.080858
Marijuana Use in the Past Month,12 or Older,2002-03,North Carolina,0.058946,0.048895,0.07091
Marijuana Use in the Past Month,12 or Older,2002-03,North Dakota,0.053462,0.043478,0.065581
Marijuana Use in the Past Month,12 or Older,2002-03,Ohio,0.064938,0.058685,0.071807
Marijuana Use in the Past Month,12 or Older,2002-03,Oklahoma,0.055799,0.04502,0.068973
Marijuana Use in the Past Month,12 or Older,2002-03,Oregon,0.088816,0.073739,0.10662
Marijuana Use in the Past Month,12 or Older,2002-03,Pennsylvania,0.056419,0.050679,0.062766
Marijuana Use in the Past Month,12 or Older,2002-03,Rhode Island,0.095648,0.080031,0.113935
Marijuana Use in the Past Month,12 or Older,2002-03,South Carolina,0.056514,0.046608,0.068375
